央视频道,#genre#
河南电视剧,http://115.48.63.9:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河南都市,http://115.48.63.9:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
泉州综合,http://117.27.190.42:9998/tsfile/live/23300_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
法制天地,http://61.173.144.157:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
湖北公共,http://59.173.183.242:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-hubeigonggong
湖北经视,http://59.173.183.242:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-hubeijingshi
湖南娱乐,http://222.243.221.54:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
湖南都市,http://222.243.221.54:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
漳州综合,http://117.27.190.42:9998/tsfile/live/23303_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
福建东南,http://115.48.63.9:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
福建公共,http://117.27.190.42:9998/tsfile/live/23285_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
福建文体,http://117.27.190.42:9998/tsfile/live/23291_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
福建电视剧,http://117.27.190.42:9998/tsfile/live/23287_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
福建经济,http://117.27.190.42:9998/tsfile/live/23289_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
福建综合,http://117.27.190.42:9998/tsfile/live/23284_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
经典电影,http://115.48.63.9:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
莆田综合,http://117.27.190.42:9998/tsfile/live/23302_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
都市剧场,http://61.173.144.157:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
金鹰卡通,http://115.48.63.9:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
金鹰纪实,http://115.48.63.9:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
马鞍山公共,http://223.241.247.214:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
马鞍山新闻,http://223.241.247.214:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
